                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.80439,                0.57345,                 1.1331,                0.83812,                0.78036,                0.84555,                0.50274,                  1.382,                0.76369,                 1.6489,             0.00043325,             0.00043325,             0.00043325
                     36,                0.78152,                0.55664,                 1.1169,                 0.8582,                0.78402,                0.85211,                0.50177,                 1.3937,                 0.7477,                 1.6594,              0.0004085,              0.0004085,              0.0004085
                     37,                0.77357,                0.54977,                 1.1164,                0.80807,                0.81414,                 0.8489,                0.50589,                 1.3772,                0.76199,                 1.6625,             0.00038375,             0.00038375,             0.00038375
                     38,                0.76128,                0.54421,                 1.1119,                0.83343,                0.80229,                0.85553,                0.51926,                 1.3689,                0.74116,                 1.6733,               0.000359,               0.000359,               0.000359
                     39,                0.75321,                0.53224,                 1.1005,                0.83991,                0.79613,                0.85825,                0.52041,                  1.363,                0.73702,                 1.6477,             0.00033425,             0.00033425,             0.00033425
                     40,                0.74504,                0.52784,                 1.0952,                0.86895,                0.77947,                0.85457,                0.51862,                 1.3686,                0.74337,                 1.6546,              0.0003095,              0.0003095,              0.0003095
                     41,                0.68486,                0.44375,                 1.0804,                0.84906,                0.77517,                0.85032,                0.52383,                 1.3388,                0.72167,                 1.6332,             0.00028475,             0.00028475,             0.00028475
                     42,                0.66817,                0.42899,                 1.0732,                0.85315,                0.78119,                  0.856,                0.52353,                 1.3436,                0.71887,                 1.6515,                0.00026,                0.00026,                0.00026
                     43,                0.64462,                0.40661,                 1.0541,                0.84035,                0.79646,                0.85135,                0.52453,                 1.3489,                0.72978,                 1.6674,             0.00023525,             0.00023525,             0.00023525
                     44,                0.63239,                0.39576,                 1.0497,                0.84422,                0.77864,                0.84852,                0.52058,                 1.3458,                0.74344,                  1.656,              0.0002105,              0.0002105,              0.0002105
                     45,                0.62131,                0.38866,                 1.0361,                0.84097,                0.80051,                0.86087,                0.53007,                 1.3309,                0.71796,                 1.6492,             0.00018575,             0.00018575,             0.00018575
                     46,                0.59693,                0.37093,                 1.0257,                0.85294,                0.79414,                0.86187,                0.52971,                 1.3278,                0.71062,                 1.6451,               0.000161,               0.000161,               0.000161
                     47,                0.58358,                0.35927,                 1.0144,                 0.8061,                0.81647,                0.85974,                 0.5368,                  1.325,                0.71114,                 1.6488,             0.00013625,             0.00013625,             0.00013625
                     48,                0.57498,                0.35543,                 1.0136,                0.83213,                0.81139,                0.86747,                0.54157,                 1.3168,                0.70571,                 1.6482,              0.0001115,              0.0001115,              0.0001115
                     49,                0.56012,                0.34306,                 1.0001,                0.84697,                0.79095,                0.86214,                0.54506,                 1.2956,                0.70214,                  1.638,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                0.54518,                0.33543,                0.99379,                0.85495,                0.79083,                0.86612,                0.54818,                  1.286,                0.69183,                 1.6339,                6.2e-05,                6.2e-05,                6.2e-05
